x,y,saturation,concentration
0.005,0.005,0,0
0.015,0.005,0,0
0.025,0.005,0,0
0.035,0.005,0,1.02045521716731e-27
0.045,0.005,0,1.02045521716731e-27
0.055,0.005,0,1.02045521716731e-27
0.065,0.005,0,1.02045521716731e-27
0.075,0.005,0,1.02045521716731e-27
0.085,0.005,0,1.02045521716731e-27
0.095,0.005,0,1.02045521716731e-27
0.105,0.005,0,1.02045521716731e-27
0.115,0.005,0,1.02045521716731e-27
0.125,0.005,0,1.02045521716731e-27
0.135,0.005,0,1.02045521716731e-27
0.145,0.005,0,1.02045521716731e-27
0.155,0.005,0,1.02045521716731e-27
0.165,0.005,0,1.02045521716731e-27
0.175,0.005,0,1.02045521716731e-27
0.185,0.005,0,1.02045521716731e-27
0.195,0.005,0,1.02046236035383e-27
0.205,0.005,0,1.02046236035383e-27
0.215,0.005,0,1.02059297862163e-27
0.225,0.005,0,1.02059297862163e-27
0.235,0.005,0,1.02320126215671e-27
0.245,0.005,0,1.02320126215671e-27
0.255,0.005,0,1.07151063259263e-27
0.265,0.005,0,1.07151063259263e-27
0.275,0.005,0,1.71029008715894e-27
0.285,0.005,0,1.71029008715894e-27
0.295,0.005,0,1.21758777647491e-26
0.305,0.005,0,1.21758777647491e-26
0.315,0.005,0,2.38911322490211e-25
0.325,0.005,0,2.38911322490211e-25
0.335,0.005,0,7.70571654045555e-24
0.345,0.005,0,7.70571654045555e-24
0.355,0.005,0,2.59782284864847e-22
0.365,0.005,0,2.59782284864847e-22
0.375,0.005,0,6.22046948324895e-21
0.385,0.005,0,6.22046948324895e-21
0.395,0.005,0,9.01653922830217e-20
0.405,0.005,0,9.01653922830217e-20
0.415,0.005,0,6.32705501022686e-19
0.425,0.005,0,6.32705501022686e-19
0.435,0.005,0,2.58465489452614e-18
0.445,0.005,0,2.58465489452614e-18
0.455,0.005,0,4.43042061631622e-18
0.465,0.005,0,4.43042061631622e-18
0.475,0.005,0,6.28332136098472e-18
0.485,0.005,0,6.28332136098472e-18
0.495,0.005,0,9.5174092625444e-18
0.505,0.005,0,9.5174092625444e-18
0.515,0.005,0,1.24410022347214e-17
0.525,0.005,0,1.24410022347214e-17
0.535,0.005,0,1.55914944448907e-17
0.545,0.005,0,1.55914944448907e-17
0.555,0.005,0,1.447370820911e-17
0.565,0.005,0,1.447370820911e-17
0.575,0.005,0,1.18225757594615e-17
0.585,0.005,0,1.18225757594615e-17
0.595,0.005,0,9.25382465949487e-18
0.605,0.005,0,9.25382465949487e-18
0.615,0.005,0,7.13342688647421e-18
0.625,0.005,0,7.13342688647421e-18
